HDI Rank,Country,2008-2019
169, Afghanistan,54.5
69, Albania,14.3
91, Algeria,5.5
148, Angola,36.6
46, Argentina,32
81, Armenia,23.5
88, Azerbaijan,6
133, Bangladesh,24.3
53, Belarus,5.6
158, Benin,40.1
129, Bhutan,8.2
107, Bolivia (Plurinational State of),34.6
73, Bosnia and Herzegovina,16.9
100, Botswana,19.3
56, Bulgaria,22
182, Burkina Faso,40.1
185, Burundi,64.9
126, Cabo Verde,35
144, Cambodia,17.7
153, Cameroon,37.5
188, Central African Republic,62
187, Chad,46.7
43, Chile,8.6
85, China,1.7
83, Colombia,27
156, Comoros,42.4
149, Congo,40.9
175, Congo (Democratic Republic of the),63.9
62, Costa Rica,21
43, Croatia,19.4
27, Czechia,9.7
162, Cote d'Ivoire,46.3
166, Djibouti,21.1
88, Dominican Republic,22.8
86, Ecuador,25
116, Egypt,32.5
124, El Salvador,29.2
29, Estonia,21.8
138, Eswatini (Kingdom of),58.9
173, Ethiopia,23.5
93, Fiji,34
119, Gabon,33.4
172, Gambia,48.6
61, Georgia,20.1
138, Ghana,23.4
127, Guatemala,59.3
178, Guinea,55.2
175, Guinea-Bissau,69.3
170, Haiti,58.5
132, Honduras,48.3
40, Hungary,14.9
131, India,21.9
107, Indonesia,9.8
123, Iraq,18.9
101, Jamaica,19.9
102, Jordan,14.4
51, Kazakhstan,2.5
143, Kenya,36.1
120, Kyrgyzstan,22.4
137, Lao People's Democratic Republic,23.4
37, Latvia,22.5
92, Lebanon,27.4
165, Lesotho,49.7
175, Liberia,50.9
34, Lithuania,22.2
164, Madagascar,70.7
174, Malawi,51.5
62, Malaysia,0.4
95, Maldives,8.2
184, Mali,41.1
157, Mauritania,31
66, Mauritius,10.3
74, Mexico,41.9
136, Micronesia (Federated States of),41.2
90, Moldova (Republic of),9.6
99, Mongolia,28.4
48, Montenegro,23.6
121, Morocco,4.8
181, Mozambique,46.1
147, Myanmar,24.8
130, Namibia,17.4
142, Nepal,25.2
128, Nicaragua,24.9
189, Niger,44.5
161, Nigeria,46
82, North Macedonia,21.9
154, Pakistan,24.3
115," Palestine, State of",29.2
57, Panama,22.1
155, Papua New Guinea,39.9
103, Paraguay,24.2
79, Peru,20.5
107, Philippines,21.6
35, Poland,15.4
49, Romania,23.6
52, Russian Federation,12.9
160, Rwanda,38.2
86, Saint Lucia,25
111, Samoa,20.3
135, Sao Tome and Principe,66.2
168, Senegal,46.7
64, Serbia,24.3
67, Seychelles,39.3
182, Sierra Leone,52.9
39, Slovakia,12.6
22, Slovenia,14.3
151, Solomon Islands,12.7
114, South Africa,55.5
185, South Sudan,82.3
72, Sri Lanka,4.1
170, Sudan,46.5
125, Tajikistan,27.4
163, Tanzania (United Republic of),26.4
79, Thailand,9.9
141, Timor-Leste,41.8
167, Togo,55.1
104, Tonga,22.5
95, Tunisia,15.2
54, Turkey,13.9
.., Tuvalu,26.3
159, Uganda,21.4
74, Ukraine,1.3
55, Uruguay,8.1
106, Uzbekistan,14.1
140, Vanuatu,12.7
113, Venezuela (Bolivarian Republic of),33.1
117, Viet Nam,6.7
179, Yemen,48.6
146, Zambia,54.4
150, Zimbabwe,70
